                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4541,                 1.0544,                 1.4001,                 1.4969,                  1.254,                 1.3707,                0.75555,                0.68526,                0.72638,                0.35114,                 1.7398,                 1.1053,                 1.6589,                 1.7484,                 1.2842,                 1.6056,             0.00083482,             0.00083482,             0.00083482
                     24,                  1.431,                  1.028,                 1.3993,                 1.4693,                 1.2182,                 1.3732,                0.69375,                0.68212,                0.73413,                0.32704,                 1.7866,                  1.075,                 1.6894,                 1.8316,                 1.2504,                 1.6815,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.4356,                  1.034,                 1.3954,                 1.4746,                 1.2364,                 1.3705,                0.82327,                0.53095,                0.59554,                0.28354,                 1.8372,                 1.1476,                 1.7611,                 1.8284,                 1.4078,                  1.709,             0.00077823,             0.00077823,             0.00077823
                     26,                  1.419,                0.99286,                 1.3838,                 1.4438,                 1.1747,                 1.3525,                0.76101,                0.72148,                0.77834,                 0.3738,                  1.733,                0.97981,                 1.6336,                 1.7442,                  1.157,                 1.6202,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.4088,                 0.9775,                 1.3859,                 1.4488,                 1.1636,                 1.3647,                0.80878,                0.57698,                0.69483,                0.33526,                 1.7806,                 1.0892,                 1.6469,                 1.7867,                 1.2589,                 1.6298,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.3758,                0.93833,                 1.3393,                 1.4181,                 1.0929,                 1.3203,                0.74146,                 0.6983,                0.77121,                0.36433,                 1.7267,                0.98206,                 1.6201,                 1.7726,                 1.0972,                 1.6058,             0.00069335,             0.00069335,             0.00069335
                     29,                  1.396,                0.94102,                 1.3571,                 1.4434,                 1.1127,                 1.3412,                0.83496,                0.66648,                 0.8033,                0.36996,                 1.7955,                0.99963,                 1.7054,                 1.8504,                 1.1278,                 1.7013,             0.00066506,             0.00066506,             0.00066506
                     30,                  1.397,                0.94379,                 1.3717,                 1.4318,                 1.0799,                 1.3425,                0.87109,                0.62923,                0.75927,                0.35329,                 1.7829,                0.98921,                 1.6663,                 1.8101,                 1.1467,                 1.6441,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.3623,                0.91028,                 1.3483,                 1.4215,                 1.0536,                 1.3375,                0.76132,                0.67341,                0.74833,                0.36392,                 1.8127,                0.97402,                 1.7012,                 1.8351,                 1.0958,                 1.6745,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.3749,                0.90859,                 1.3538,                 1.4162,                 1.0748,                 1.3311,                0.77753,                0.68593,                0.77566,                 0.3816,                 1.7459,                0.92442,                 1.6242,                 1.7574,                 1.0514,                 1.6026,             0.00058017,             0.00058017,             0.00058017
